Model,Optimal_Threshold,CV_AUROC,AUROC,AUROC_CI_Lower,AUROC_CI_Upper,AUPRC,AUPRC_CI_Lower,AUPRC_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Sensitivity,Sensitivity_CI_Lower,Sensitivity_CI_Upper,Specificity,Specificity_CI_Lower,Specificity_CI_Upper,PPV,PPV_CI_Lower,PPV_CI_Upper,NPV,NPV_CI_Lower,NPV_CI_Upper,F1,F1_CI_Lower,F1_CI_Upper
LightGBM,0.16127388176072846,0.8572702804363745,0.8670045227741265,0.8536517572301062,0.878952626341792,0.6369494045502014,0.606720296723121,0.6650602153027967,0.7871862120644436,0.7766953915324092,0.7977753840389659,0.7833698030634574,0.7551438861642932,0.811935863480755,0.7879746835443038,0.7758966756559231,0.8011669355867687,0.4328899637243047,0.4106994022876975,0.4586046468498008,0.9462540716612378,0.938157090974931,0.9534094961388485,0.5576323987538941,0.5344256152287689,0.5827423736342281
XGBoost,0.16728182137012482,0.8580301039271925,0.8638120199745966,0.8506789638965624,0.8752368817346995,0.6345225289727974,0.606007683555322,0.6643252330614952,0.7954289996253279,0.7841888347695766,0.8061071562382915,0.7636761487964989,0.735292937399679,0.790708847434391,0.8019891500904159,0.7896647923034726,0.8142575970655889,0.4434561626429479,0.4203535202248264,0.4695063612307059,0.9426142401700319,0.9346750475556614,0.9494736475220295,0.5610932475884244,0.5364402350035173,0.5840938367519286
Gradient Boosting,0.18038981328338102,0.8544896242028276,0.8609076313404901,0.8472734452886784,0.8729823258094048,0.6235911663613444,0.5943276313420126,0.6516935770897792,0.797677032596478,0.7869005245410267,0.8079805170475833,0.75054704595186,0.7240893161164791,0.7788904450669156,0.8074141048824593,0.7955022454735898,0.8200311212357515,0.4460338101430429,0.42008405184885134,0.4732984773728049,0.94,0.9324582451732346,0.9476411524957474,0.5595432300163132,0.5366883336598223,0.5828016240324538
Random Forest,0.2200697043114136,0.8467689851158188,0.8556696416206014,0.8426331040376835,0.8673716604314373,0.6201971619232365,0.5894540647225843,0.6509017940528232,0.7928062944923192,0.7832521543649307,0.8027444735856126,0.7363238512035011,0.7080554171423141,0.763859395109395,0.8044755877034359,0.7934920163626217,0.8162422767563707,0.4375812743823147,0.41362506163435536,0.46225892562473403,0.9365789473684211,0.9283409386076392,0.9437829653195609,0.5489396411092986,0.525375493026129,0.5706837597698181
MLP,0.16833400987900216,0.8437156751279851,0.849234927053945,0.8353249328488859,0.862271671116311,0.6024578541009197,0.5704705681556609,0.6345844947168283,0.7710753091045335,0.7602988010490821,0.7817534657174972,0.7724288840262582,0.7442192856285981,0.8012060171099259,0.7707956600361664,0.7591247099938803,0.7840271378237895,0.4104651162790698,0.3879878982236651,0.4334815162437376,0.9425096738529575,0.9334576561815308,0.9499384573399369,0.5360668185269553,0.5142292693124192,0.5590456899070456
AdaBoost,0.4980049987955325,0.8368088074776143,0.8439506906826105,0.8295369008577104,0.8568702266838154,0.5875971063784415,0.5578687747316934,0.6182140854025853,0.7791307605844886,0.7679795803671787,0.789621581116523,0.7341356673960613,0.7050037438034088,0.7616778149386845,0.7884267631103075,0.7758976158431564,0.8005030617325253,0.417548226509023,0.3935324020420087,0.4415558581682647,0.9348700080407397,0.9263703277027042,0.9420405982905983,0.5323284410948036,0.5080348832438448,0.5542130630720163
Logistic Regression,0.1842333382408903,0.8314482893686996,0.8339871340331828,0.8188311605828993,0.8486202623553767,0.5782178933571397,0.5479557749649296,0.6106815690862206,0.7757587111277632,0.7640361558636194,0.7868115399025852,0.7428884026258206,0.7140570160239331,0.7740555132173214,0.7825497287522604,0.7700980226916082,0.7946930626003812,0.4137720901889092,0.3902580449301761,0.440232865066819,0.9364349472545307,0.9278880091635332,0.9442962213555358,0.5315068493150685,0.5074834579976986,0.556463099405776
SVM,0.17861663615398546,0.8270554023871888,0.8314136438997948,0.8164696108547015,0.8466006620909269,0.5812372095026815,0.5517353871052604,0.6134410455428562,0.7826901461221432,0.7716373173473211,0.7931809666541776,0.7210065645514223,0.6894737347361953,0.7534135698198198,0.7954339963833634,0.7839552770248063,0.8075008136707417,0.42135549872122763,0.39770678502614915,0.4454701059822235,0.9324324324324325,0.9239730104477889,0.9405318566930917,0.5318805488297014,0.508227167237394,0.5558882369564548
Gaussian Naive Bayes,0.040433816768980405,0.7821576842047149,0.7872708441324623,0.7708524879269091,0.802647941924304,0.469194336068514,0.43408473065571285,0.5038704138712515,0.6901461221431248,0.6781472461596103,0.7021356313225927,0.7571115973741794,0.7292594238385264,0.7834641563932178,0.6763110307414105,0.6627713945706425,0.6905724178463714,0.3258003766478343,0.30739786741086467,0.3465387650570681,0.9309271935283137,0.9218766275688461,0.9389303966688154,0.4555628703094141,0.43622906394472805,0.4772128584939189
Complement Naive Bayes,0.508698125974438,0.7227878634802105,0.7345031675246615,0.7189678994664567,0.7530282460877677,0.39323943977385917,0.36577620434478453,0.4313520692543151,0.7311727238666167,0.7201995129261896,0.7430732484076433,0.5787746170678337,0.5485071165298309,0.6135159165520918,0.7626582278481012,0.7513183157012718,0.775133329321477,0.33502216592780243,0.31348725469520045,0.3587850765306122,0.8975791433891993,0.8878032637851716,0.9065848026311852,0.4243882872041717,0.40167394178051696,0.44862679172252373
